Filename,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
28.wav,-580.8789,115.22364,15.318973,31.279287,17.988214,5.256765,-5.390493,6.711666,2.7734196,2.7966244,-2.8782647,-0.38188544,-5.3677745,125.012856,84.077866,24.145555,26.235401,20.91696,12.164499,15.651846,9.862374,8.668188,8.708022,7.5956235,10.063101,9.008025
30.wav,-580.95056,115.4417,15.418888,31.41444,17.996742,5.303187,-5.3830495,6.772942,2.7727258,2.835827,-2.9223614,-0.41372496,-5.4157624,125.01454,83.91506,24.074612,26.121923,20.833368,12.171346,15.7371855,9.787956,8.637162,8.7512455,7.612542,10.058934,9.00079
36.wav,-572.7886,111.368324,10.172045,26.96257,13.83109,3.151526,-5.6022267,5.504691,-2.4889097,0.391467,-5.616608,4.1381536,-1.6040581,128.1608,82.202934,33.284805,18.766754,13.804071,12.640682,12.723204,10.60043,9.021395,9.876261,10.437687,9.282254,8.263548
9.wav,-598.7486,109.433556,20.036419,24.895813,19.323107,9.383337,-7.663574,4.7748847,1.6926819,1.4360453,0.41432124,0.34295708,-6.313865,124.350845,86.81732,20.377861,19.933426,18.268124,12.4606495,15.253509,9.8250885,9.455122,9.935232,6.739247,9.231262,11.57796
16.wav,-547.26984,108.96307,16.37278,28.410503,11.1287,-2.526328,-4.5372987,6.2660947,-2.979559,3.482055,-5.1723,7.6186976,1.2293593,118.10848,72.30761,26.735168,19.858885,17.156792,12.323198,14.942352,13.315815,8.8432045,8.530368,10.291992,8.748182,9.09133
60.wav,-579.9466,102.17669,19.431152,25.416016,14.563435,2.2032924,-3.4830763,2.1486247,-0.9162291,1.8479402,-2.4439037,3.363802,-0.09940307,117.62262,81.52671,22.707884,21.043932,17.348385,13.42561,14.791536,10.39451,10.393872,7.90576,7.7321696,7.558921,7.2193375
43.wav,-575.1469,97.39114,20.697716,24.277632,13.720978,9.58144,0.53919905,-0.6203381,-7.5445976,5.0135446,-3.442606,2.7479844,-3.91676,114.34163,77.879265,19.620703,21.734388,16.328743,15.882722,11.26817,11.134134,11.903359,8.338116,10.544293,8.291766,7.473996
21.wav,-578.5754,102.40956,9.230613,19.63813,14.14076,7.4870024,-2.7825966,4.5760074,-0.97229725,2.5482554,-4.2794843,4.0149727,0.20070243,131.52892,86.0482,25.233631,19.20976,18.453918,10.979427,12.927972,9.688893,9.138345,7.0332174,9.29673,7.2630434,7.6318445
52.wav,-595.7266,79.38215,26.736338,28.798658,11.890101,3.51366,0.8984176,4.381874,-0.26122844,8.455146,-4.095913,2.1245694,-6.250653,103.90773,71.3667,23.926098,19.78755,17.346758,16.372082,12.324812,8.396354,5.967009,6.7442856,6.4302464,5.9103675,9.873052
73.wav,-557.29065,103.20058,21.88441,23.696764,14.325085,2.0169163,-5.7633557,0.13221918,-5.3299103,0.613269,-7.5774946,3.5643003,-0.6387248,129.96446,89.63654,19.735312,20.409847,15.831688,11.818622,14.520741,9.895144,13.452278,10.881759,10.655588,7.060822,7.3274364
